title,partner,rating,reviews,metadata,link,category,scraped_at,source_domain,num_ratings,duration_hours,level_enc,title_clean,popularity_score,id
Social Psychology,Wesleyan University,4.7,5.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/social-psychology,Psychology,2026-01-29T02:47:35.285778,coursera,5100,20.0,1,social psychology,40.12480182623776,896
From Idea to Startup,Technion - Israel Institute of Technology,4.8,780 reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/startup-entrepreneurship-from-idea-to-startup,Entrepreneurship,2026-01-29T02:36:33.219877,coursera,780,20.0,0,from idea to startup,31.97076071923049,449
مهارات إدارة التغيير الذاتي,Alfaisal University | KLD,4.9,193 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/personal-change-management-skills,Personal Development,2026-01-29T02:44:20.283440,coursera,193,5.0,1,مهارات إدارة التغيير الذاتي,25.81250497941031,800
"Building Diverse, Inclusive, and Safe Workplaces",Coursera,4.7,178 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/building-diverse-inclusive-and-safe-workplaces,Human Resources,2026-01-29T02:37:36.737016,coursera,178,20.0,1,building diverse inclusive and safe workplaces,24.38071328745155,658
DevOps for Network Automation (NetDevOps),Cisco Learning and Certifications,4.7,33 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/devops-for-network-automation-netdevops,DevOps,2026-01-29T02:31:58.471205,coursera,33,5.0,2,devops for network automation netdevops,16.57389446569596,353
Principles of UX/UI Design,Meta,4.6,1.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/principles-of-ux-ui-design,Graphic Design,2026-01-29T02:38:45.072416,coursera,1100,20.0,1,principles of uxui design,32.21828102892432,543
How to Create Video for Online Courses,The University of Edinburgh,4.7,236 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/how-to-create-video-for-online-courses,Video Editing,2026-01-29T02:42:15.851193,coursera,236,5.0,1,how to create video for online courses,25.69988266333512,957
The Full Stack,Meta,4.6,234 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/the-full-stack,Web Development,2026-01-29T02:29:46.225844,coursera,234,20.0,2,the full stack,25.11409336506313,988
Psychology of the Self ,American Psychological Association,4.7,20 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/psychology-of-the-self,Personal Development,2026-01-28T23:16:18.142395,coursera,20,20.0,1,psychology of the self ,14.309255457300088,199
Effectuation: Lessons From Expert Entrepreneurs,University of Virginia,4.9,8 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/uva-darden-effectual-entrepreneurship,Entrepreneurship,2026-01-29T02:36:46.227553,coursera,8,5.0,1,effectuation lessons from expert entrepreneurs,10.766400428947478,450
Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship,University of Maryland,4.7,1.5K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/innovative-ideas,Entrepreneurship,2026-01-29T02:36:20.923525,coursera,1500,5.0,0,developing innovative ideas for new companies the first step in entrepreneurship,34.37526810867727,432
Deep Learning,DeepLearning.AI,4.8,147K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/deep-learning,Machine Learning,2026-01-29T02:28:15.899732,coursera,147000,20.0,2,deep learning,57.111334408602346,713
IBM Data Analyst,IBM,4.6,98K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,Data Science,2026-01-29T02:27:21.439713,coursera,98000,20.0,1,ibm data analyst,52.86657162373849,314
The Ancient Greeks,Wesleyan University,4.7,2.1K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/ancient-greeks,History,2026-01-29T02:48:42.055036,coursera,2100,20.0,0,the ancient greeks,35.955792893971505,602
Linux: Introduction to Shell Scripting for DevOps,Coursera,4.6,84 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/intro-shell-bash-scripting-devops,DevOps,2026-01-29T02:32:11.712701,coursera,84,0.0,2,linux introduction to shell scripting for devops,20.436195779855456,371
Python Scripting for DevOps,LearnQuest,0.0,209 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python-scripting-devops,DevOps,2026-01-29T02:31:44.806277,coursera,209,20.0,1,python scripting for devops,0.0,343
Game Design and Development with Unity,Michigan State University,4.7,650 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/game-design-and-development,Game Design,2026-01-28T23:16:00.141341,coursera,650,20.0,1,game design and development with unity,30.448995318380277,87
Digital Marketing,Illinois Tech,4.5,57 reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/illinois-tech-digital-marketing,Digital Marketing,2026-01-29T02:33:50.754010,coursera,57,20.0,3,digital marketing,18.271993547458887,376
